case,comment,likes_raw,likes,date_iso,hash_id,comment_norm,comment_length,emojis_list,hashtags_list,days_old,language,is_brazilian,comment_anon,theme_C1,theme_C2,theme_C3,theme_C4,theme_C5,theme_NA,theme_conf,character,char_conf,tone,tone_conf,needs_human_review,coder_agreement,reviewer_used,kappa_reviewer_a,kappa_reviewer_b,rule_id,theme_C1_a,theme_C2_a,theme_C3_a,theme_C4_a,theme_C5_a,theme_NA_a,character_a,tone_a,confidence_a,theme_C1_b,theme_C2_b,theme_C3_b,theme_C4_b,theme_C5_b,theme_NA_b,character_b,tone_b,confidence_b,classification_source,theme_C1_human,theme_C2_human,theme_C3_human,theme_C4_human,theme_C5_human,theme_NA_human,character_human,tone_human,human_notes,reviewed_by,reviewed_at,human_reviewed
Bruno_Mars,@bruninhoedobrasil #rumoaos200M,2 Me gusta,2,2025-12-11 16:06:49+00:00,BRUNO_MARS_2819,@bruninhoedobrasil #rumoaos200m,31,[],['#rumoaos200M'],399,pt,True,@user #rumoaos200M,False,False,False,False,True,False,0.92,Afetivo,0.9,Positivo,0.88,False,True,False,,,rumoaos200m_shell,,,,,,,,,,,,,,,,,,,rule,,,,,,,,,,,,False
Bruno_Mars,🔥🇧🇷💚,0,0,2026-02-04 01:52:39+00:00,BRUNO_MARS_6923,🔥🇧🇷💚,4,"['🔥', '💚', '🇧🇷']",[],454,,True,🔥🇧🇷💚,False,False,False,True,True,False,0.84,Afetivo,0.88,Positivo,0.86,False,True,False,,,flag_mixed_foreign,,,,,,,,,,,,,,,,,,,rule,,,,,,,,,,,,False
Bruno_Mars,"Amamos você, Bruninho.💚💛🇧🇷🇧🇷🇧🇷❤️😍",2 Me gusta,2,2026-01-26 18:28:13+00:00,BRUNO_MARS_5994,"amamos você, bruninho.💚💛🇧🇷🇧🇷🇧🇷❤️😍",33,"['😍', '🇧🇷', '💛', '❤️', '💚']",[],445,pt,True,"Amamos você, Bruninho.💚💛🇧🇷🇧🇷🇧🇷❤️😍",False,False,False,True,True,False,0.92,Afetivo,0.95,Positivo,0.92,False,True,False,,,,False,False,False,True,True,False,Afetivo,Positivo,0.92,False,False,False,True,True,False,Afetivo,Positivo,0.92,llm_agreed,,,,,,,,,,,,False
Bruno_Mars,😂,1 Me gusta,1,2025-12-21 12:27:30+00:00,BRUNO_MARS_3246,😂,1,['😂'],[],409,,False,😂,False,False,False,True,False,False,0.84,Afetivo,0.88,Positivo,0.86,False,True,False,,,affect_combo_foreign,,,,,,,,,,,,,,,,,,,rule,,,,,,,,,,,,False
Bruno_Mars,💛🇧🇷💚,0,0,2026-02-05 22:31:16+00:00,BRUNO_MARS_7082,💛🇧🇷💚,4,"['🇧🇷', '💚', '💛']",[],455,,True,💛🇧🇷💚,False,False,False,True,True,False,0.84,Afetivo,0.88,Positivo,0.86,False,True,False,,,flag_mixed_foreign,,,,,,,,,,,,,,,,,,,rule,,,,,,,,,,,,False
Bruno_Mars,😍🇧🇷🔥,0,0,2025-10-16 23:18:40+00:00,BRUNO_MARS_0555,😍🇧🇷🔥,4,"['😍', '🇧🇷', '🔥']",[],343,,True,😍🇧🇷🔥,False,False,False,True,True,False,0.84,Afetivo,0.88,Positivo,0.86,False,True,False,,,flag_mixed_foreign,,,,,,,,,,,,,,,,,,,rule,,,,,,,,,,,,False
Bruno_Mars,💛🇧🇷❤️,2 Me gusta,2,2025-12-09 23:06:19+00:00,BRUNO_MARS_2647,💛🇧🇷❤️,5,"['🇧🇷', '❤️', '💛']",[],397,,True,💛🇧🇷❤️,False,False,False,True,True,False,0.84,Afetivo,0.88,Positivo,0.86,False,True,False,,,flag_mixed_foreign,,,,,,,,,,,,,,,,,,,rule,,,,,,,,,,,,False
Bruno_Mars,🇧🇷🇧🇷🇧🇷🇧🇷,1 Me gusta,1,2026-01-09 13:23:18+00:00,BRUNO_MARS_4241,🇧🇷🇧🇷🇧🇷🇧🇷,8,['🇧🇷'],[],428,,True,🇧🇷🇧🇷🇧🇷🇧🇷,False,False,False,False,True,False,0.84,Afetivo,0.86,Positivo,0.84,False,True,False,,,flag_only_foreign_thread,,,,,,,,,,,,,,,,,,,rule,,,,,,,,,,,,False
Bruno_Mars,🇧🇷🔥🇧🇷🔥🇧🇷🔥 🇧🇷,1 Me gusta,1,2026-02-03 19:18:53+00:00,BRUNO_MARS_6848,🇧🇷🔥🇧🇷🔥🇧🇷🔥 🇧🇷,12,"['🇧🇷', '🔥']",[],453,,True,🇧🇷🔥🇧🇷🔥🇧🇷🔥 🇧🇷,False,False,False,True,True,False,0.84,Afetivo,0.88,Positivo,0.86,False,True,False,,,flag_mixed_foreign,,,,,,,,,,,,,,,,,,,rule,,,,,,,,,,,,False
Bruno_Mars,"Até que enfim os 2 milhões vieram, agora faltar bater 1k de comentários 💛💚",1 Me gusta,1,2026-01-28 01:10:12+00:00,BRUNO_MARS_6144,"até que enfim os 2 milhões vieram, agora faltar bater 1k de comentários 💛💚",74,"['💚', '💛']",[],447,pt,True,"Até que enfim os 2 milhões vieram, agora faltar bater 1k de comentários 💛💚",False,False,False,True,True,False,0.9,Afetivo,0.92,Positivo,0.92,False,False,True,1.0,0.5454545454545454,,False,False,False,True,True,False,Afetivo,Positivo,0.82,False,False,False,True,False,False,Afetivo,Positivo,0.92,llm_reviewer,,,,,,,,,,,,False
Bruno_Mars,@bruninhoedobrasil #rumoaos200m,3 Me gusta,3,2025-12-11 20:24:14+00:00,BRUNO_MARS_2883,@bruninhoedobrasil #rumoaos200m,31,[],['#rumoaos200m'],399,pt,True,@user #rumoaos200m,False,False,False,False,True,False,0.92,Afetivo,0.9,Positivo,0.88,False,True,False,,,rumoaos200m_shell,,,,,,,,,,,,,,,,,,,rule,,,,,,,,,,,,False
Bruno_Mars,🇧🇷,1 Me gusta,1,2026-01-26 14:55:41+00:00,BRUNO_MARS_5845,🇧🇷,2,['🇧🇷'],[],445,,True,🇧🇷,False,False,False,False,True,False,0.84,Afetivo,0.86,Positivo,0.84,False,True,False,,,flag_only_foreign_thread,,,,,,,,,,,,,,,,,,,rule,,,,,,,,,,,,False
Bruno_Mars,📍🇧🇷❤️,0,0,2025-11-22 20:00:00+00:00,BRUNO_MARS_1678,📍🇧🇷❤️,5,"['🇧🇷', '📍', '❤️']",[],380,,True,📍🇧🇷❤️,False,False,False,False,True,False,0.86,Afetivo,0.88,Positivo,0.86,False,True,False,,,flag_location,,,,,,,,,,,,,,,,,,,rule,,,,,,,,,,,,False
Bruno_Mars,🔥🇧🇷❤️,0,0,2026-01-08 16:02:30+00:00,BRUNO_MARS_4042,🔥🇧🇷❤️,5,"['🔥', '❤️', '🇧🇷']",[],427,,True,🔥🇧🇷❤️,False,False,False,True,True,False,0.84,Afetivo,0.88,Positivo,0.86,False,True,False,,,flag_mixed_foreign,,,,,,,,,,,,,,,,,,,rule,,,,,,,,,,,,False
Bruno_Mars,💚🇧🇷📍,0,0,2026-01-20 02:17:22+00:00,BRUNO_MARS_5112,💚🇧🇷📍,4,"['🇧🇷', '💚', '📍']",[],439,,True,💚🇧🇷📍,False,False,False,False,True,False,0.86,Afetivo,0.88,Positivo,0.86,False,True,False,,,flag_location,,,,,,,,,,,,,,,,,,,rule,,,,,,,,,,,,False
Bruno_Mars,Bruninho 😍,1 Me gusta,1,2026-02-05 14:28:51+00:00,BRUNO_MARS_7029,bruninho 😍,10,['😍'],[],455,pt,True,Bruninho 😍,False,False,False,True,False,False,0.92,Afetivo,0.95,Positivo,0.92,False,True,False,,,,False,False,False,True,False,False,Afetivo,Positivo,0.92,False,False,False,True,False,False,Afetivo,Positivo,0.92,llm_agreed,,,,,,,,,,,,False
Bruno_Mars,🇧🇷🔥🇧🇷,1 Me gusta,1,2025-11-17 15:04:17+00:00,BRUNO_MARS_1384,🇧🇷🔥🇧🇷,5,"['🇧🇷', '🔥']",[],375,,True,🇧🇷🔥🇧🇷,False,False,False,True,True,False,0.84,Afetivo,0.88,Positivo,0.86,False,True,False,,,flag_mixed_foreign,,,,,,,,,,,,,,,,,,,rule,,,,,,,,,,,,False
Bruno_Mars,"FAZ BARULHO, GALERA!!!! UHUUUUUU 🥳🥳🥳🥳🥳🥳🥳🥳🥳🎊🎊🎊🎊🎊🎊🎊",2 Me gusta,2,2026-01-26 11:58:50+00:00,BRUNO_MARS_5813,"faz barulho, galera!!!! uhuuuuuu 🥳🥳🥳🥳🥳🥳🥳🥳🥳🎊🎊🎊🎊🎊🎊🎊",49,"['🥳', '🎊']",[],445,so,False,"FAZ BARULHO, GALERA!!!! UHUUUUUU 🥳🥳🥳🥳🥳🥳🥳🥳🥳🎊🎊🎊🎊🎊🎊🎊",False,False,False,True,True,False,0.88,Afetivo,0.9,Positivo,0.95,False,False,True,0.0,1.0,,False,False,False,False,False,True,Afetivo,Positivo,0.75,False,False,False,True,True,False,Afetivo,Positivo,0.92,llm_reviewer,,,,,,,,,,,,False
Bruno_Mars,🇧🇷🇧🇷🇧🇷🇧🇷🇧🇷,4 Me gusta,4,2026-01-25 21:56:22+00:00,BRUNO_MARS_5703,🇧🇷🇧🇷🇧🇷🇧🇷🇧🇷,10,['🇧🇷'],[],444,,True,🇧🇷🇧🇷🇧🇷🇧🇷🇧🇷,False,False,False,False,True,False,0.84,Afetivo,0.86,Positivo,0.84,False,True,False,,,flag_only_foreign_thread,,,,,,,,,,,,,,,,,,,rule,,,,,,,,,,,,False
Bruno_Mars,💛,1 Me gusta,1,2026-01-30 01:56:36+00:00,BRUNO_MARS_6415,💛,1,['💛'],[],449,,False,💛,False,False,False,True,False,False,0.83,Afetivo,0.86,Positivo,0.84,False,True,False,,,national_colors_foreign,,,,,,,,,,,,,,,,,,,rule,,,,,,,,,,,,False
Bruno_Mars,Bruno está de volta 🇧🇷,3 Me gusta,3,2026-01-07 02:13:52+00:00,BRUNO_MARS_3908,bruno está de volta 🇧🇷,22,['🇧🇷'],[],426,es,True,Bruno está de volta 🇧🇷,False,False,False,False,True,False,0.92,Cognitivo,0.72,Positivo,0.8,False,True,False,,,,False,False,False,False,True,False,Cognitivo,Positivo,0.92,False,False,False,False,True,False,Afetivo,Positivo,0.9,llm_agreed,,,,,,,,,,,,False
Bruno_Mars,🔥🇧🇷💛,0,0,2025-11-11 04:12:19+00:00,BRUNO_MARS_1079,🔥🇧🇷💛,4,"['🔥', '🇧🇷', '💛']",[],369,,True,🔥🇧🇷💛,False,False,False,True,True,False,0.84,Afetivo,0.88,Positivo,0.86,False,True,False,,,flag_mixed_foreign,,,,,,,,,,,,,,,,,,,rule,,,,,,,,,,,,False
Bruno_Mars,Campinas São Paulo 👏👏👏👏👏🇧🇷🇧🇷🇧🇷🇧🇷,4 Me gusta,4,2026-01-10 22:23:37+00:00,BRUNO_MARS_4478,campinas são paulo 👏👏👏👏👏🇧🇷🇧🇷🇧🇷🇧🇷,32,"['🇧🇷', '👏']",[],429,pt,True,Campinas São Paulo 👏👏👏👏👏🇧🇷🇧🇷🇧🇷🇧🇷,False,False,False,True,True,False,0.92,Afetivo,0.95,Positivo,0.92,False,True,False,,,,False,False,False,True,True,False,Afetivo,Positivo,0.92,False,False,False,True,True,False,Afetivo,Positivo,0.85,llm_agreed,,,,,,,,,,,,False
Bruno_Mars,BM4🥳🥳🥳🥳🥳🥳🥳🥳🥳🥳🥳🥳🥳🥳,2 Me gusta,2,2026-01-05 21:13:55+00:00,BRUNO_MARS_3820,bm4🥳🥳🥳🥳🥳🥳🥳🥳🥳🥳🥳🥳🥳🥳,17,['🥳'],[],424,,False,BM4🥳🥳🥳🥳🥳🥳🥳🥳🥳🥳🥳🥳🥳🥳,False,False,False,True,False,False,0.8,Afetivo,0.85,Positivo,0.85,False,True,False,,,,False,False,False,True,False,False,Afetivo,Positivo,0.8,False,False,False,True,False,False,Afetivo,Positivo,0.72,llm_agreed,,,,,,,,,,,,False
Bruno_Mars,📍🇧🇷😍,1 Me gusta,1,2026-01-22 02:39:05+00:00,BRUNO_MARS_5229,📍🇧🇷😍,4,"['🇧🇷', '📍', '😍']",[],441,,True,📍🇧🇷😍,False,False,False,False,True,False,0.86,Afetivo,0.88,Positivo,0.86,False,True,False,,,flag_location,,,,,,,,,,,,,,,,,,,rule,,,,,,,,,,,,False
Bruno_Mars,🔥🇧🇷❤️,1 Me gusta,1,2025-12-29 18:16:14+00:00,BRUNO_MARS_3612,🔥🇧🇷❤️,5,"['🔥', '❤️', '🇧🇷']",[],417,,True,🔥🇧🇷❤️,False,False,False,True,True,False,0.84,Afetivo,0.88,Positivo,0.86,False,True,False,,,flag_mixed_foreign,,,,,,,,,,,,,,,,,,,rule,,,,,,,,,,,,False
